x,y,z,Mx,My,Mz
108.0,216.0,-10.0,0.0,0.0,0.0
108.0,216.0,-5.0,0.0,0.0,0.0
108.0,216.0,0.0,0.0,0.0,0.0
108.0,221.0,-30.0,0.0,0.0,0.0
108.0,221.0,-25.0,0.0,0.0,0.0
108.0,221.0,-20.0,0.0,0.0,0.0
108.0,221.0,-15.0,0.0,0.0,0.0
108.0,221.0,-10.0,0.0,0.0,0.0
108.0,221.0,-5.0,0.0,0.0,0.0
108.0,221.0,0.0,0.0,0.0,0.0
108.0,226.0,-30.0,0.0,0.0,0.0
108.0,226.0,-25.0,0.0,0.0,0.0
108.0,226.0,-20.0,0.0,0.0,0.0
108.0,226.0,-15.0,0.0,0.0,0.0
108.0,226.0,-10.0,0.0,0.0,0.0
108.0,226.0,-5.0,0.0,0.0,0.0
108.0,226.0,0.0,0.0,0.0,0.0
108.0,231.0,-30.0,0.0,0.0,0.0
108.0,231.0,-25.0,0.0,0.0,0.0
108.0,231.0,-20.0,0.0,0.0,0.0
108.0,231.0,-15.0,0.0,0.0,0.0
108.0,231.0,-10.0,0.0,0.0,0.0
108.0,231.0,-5.0,0.0,0.0,0.0
108.0,231.0,0.0,0.0,0.0,0.0
108.0,236.0,-30.0,0.0,0.0,0.0
108.0,236.0,-25.0,0.0,0.0,0.0
108.0,236.0,-20.0,0.0,0.0,0.0
108.0,236.0,-15.0,0.0,0.0,0.0
108.0,236.0,-10.0,0.0,0.0,0.0
108.0,236.0,-5.0,0.0,0.0,0.0
108.0,236.0,0.0,0.0,0.0,0.0
113.0,136.0,-30.0,-22251.099167808843,-58557.80916238595,19355.224791483848
113.0,136.0,-25.0,-26298.08744079889,-66879.08906945553,17117.357464462773
113.0,136.0,-20.0,-30385.115391636595,-74929.25460028098,10989.718576127434
113.0,136.0,-15.0,-31523.362480727756,-81215.83078695196,5.743329113881503e-10
113.0,136.0,-10.0,-30385.115391635587,-74929.25460027996,-10989.718576126728
113.0,136.0,-5.0,-26298.08744080016,-66879.08906945375,-17117.35746446235
113.0,136.0,0.0,-22251.099167809403,-58557.80916238497,-19355.224791483353
113.0,141.0,-30.0,-22702.49149514365,-57346.49288430391,14091.644086835902
113.0,141.0,-25.0,-26783.2841990148,-64700.1293254904,14032.082863868469
113.0,141.0,-20.0,-29741.428747282105,-71815.90213006301,9618.303411408666
113.0,141.0,-15.0,-32251.91574844584,-76352.56059476387,4.6616441203637963e-11
113.0,141.0,-10.0,-29741.428747281756,-71815.90213006195,-9618.303411407944
113.0,141.0,-5.0,-26783.28419901506,-64700.129325488946,-14032.082863868865
113.0,141.0,0.0,-22702.491495144048,-57346.49288430261,-14091.644086834574
113.0,146.0,-30.0,-23787.95983362344,-57471.33942855855,9095.510548490696
113.0,146.0,-25.0,-26066.254262122504,-63038.108898102495,11282.801796939724
113.0,146.0,-20.0,-30970.99267480577,-69165.84430246934,7160.209252936528
113.0,146.0,-15.0,-32956.770549340494,-71070.92798335743,9.386772385019308e-10
113.0,146.0,-10.0,-30970.992674804715,-69165.84430246746,-7160.209252936282
113.0,146.0,-5.0,-26066.254262121503,-63038.1088981017,-11282.801796938635
113.0,146.0,0.0,-23787.95983362333,-57471.3394285579,-9095.510548490949
113.0,151.0,-30.0,-24155.07062556461,-60104.48257537851,6270.7366109233835
113.0,151.0,-25.0,-28271.89185091329,-62718.78545895651,6559.849603133397
113.0,151.0,-20.0,-31491.884598795576,-63999.22787346065,4507.2081598784125
113.0,151.0,-15.0,-33533.10893172482,-65114.12559943538,5.053860919500809e-10
113.0,151.0,-10.0,-31491.884598795088,-63999.2278734604,-4507.208159878995
113.0,151.0,-5.0,-28271.89185091186,-62718.78545895558,-6559.849603132305
113.0,151.0,0.0,-24155.070625564018,-60104.482575377464,-6270.736610922457
113.0,156.0,-30.0,-25357.309693590658,-61517.70187575164,5074.548669710049
113.0,156.0,-25.0,-28078.123961161342,-61741.438545678844,5439.289040776522
113.0,156.0,-20.0,-32321.622808534685,-63015.174397144765,3559.935043229043
113.0,156.0,-15.0,-33887.85088587294,-63087.23882834818,-2.078457747792037e-10
113.0,156.0,-10.0,-32321.622808535125,-63015.17439714471,-3559.935043229289
113.0,156.0,-5.0,-28078.123961161913,-61741.43854567782,-5439.289040777944
113.0,156.0,0.0,-25357.309693589308,-61517.70187575075,-5074.548669710048
113.0,161.0,-30.0,-25062.070609248476,-60714.02168626256,4656.40219325378
113.0,161.0,-25.0,-28661.50805300315,-61905.775080053245,4894.955855412909
113.0,161.0,-20.0,-31360.752241266833,-61699.3542096016,3215.282183001453
113.0,161.0,-15.0,-33126.90477538337,-62132.388470763115,-1.201357235913747e-09
113.0,161.0,-10.0,-31360.752241266975,-61699.354209601384,-3215.2821830030216
113.0,161.0,-5.0,-28661.508053003494,-61905.77508005369,-4894.955855413844
113.0,161.0,0.0,-25062.07060924977,-60714.021686261825,-4656.402193254653
113.0,166.0,-30.0,-24750.154142630814,-60861.63529571928,4534.769990573415
113.0,166.0,-25.0,-26792.132213674115,-60710.83236977246,4784.819200170888
113.0,166.0,-20.0,-30366.609614309287,-61688.27584039901,3087.9296251850437
113.0,166.0,-15.0,-31541.74024717272,-61500.841971171976,-1.5624539610843595e-09
113.0,166.0,-10.0,-30366.609614309422,-61688.27584039942,-3087.929625187424
113.0,166.0,-5.0,-26792.13221367497,-60710.832369773096,-4784.819200172052
113.0,166.0,0.0,-24750.1541426317,-60861.63529571964,-4534.769990574451
113.0,171.0,-30.0,-22719.45815118552,-58529.67024226636,4178.188260497999
113.0,171.0,-25.0,-25692.52753235401,-59742.28736791455,4658.9137654472115
113.0,171.0,-20.0,-27633.18055994329,-59513.77737083099,3034.507351957982
113.0,171.0,-15.0,-28985.498508458066,-59845.6956256337,-1.1529178979029753e-09
113.0,171.0,-10.0,-27633.180559943426,-59513.777370830896,-3034.5073519605285
113.0,171.0,-5.0,-25692.527532354823,-59742.287367914796,-4658.913765448983
113.0,171.0,0.0,-22719.458151187155,-58529.670242266235,-4178.188260498749
113.0,176.0,-30.0,-21511.575405697746,-56667.88629728453,4092.3274946766132
113.0,176.0,-25.0,-22690.406387030307,-56674.196525241765,4531.974865824594
113.0,176.0,-20.0,-25525.685579290825,-57592.82470191309,3089.8530349396574
113.0,176.0,-15.0,-26248.462898662056,-57463.96260319491,-7.260101579749272e-10
113.0,176.0,-10.0,-25525.685579291945,-57592.82470191358,-3089.8530349419552
113.0,176.0,-5.0,-22690.40638703174,-56674.19652524221,-4531.974865825204
113.0,176.0,0.0,-21511.575405698302,-56667.886297285,-4092.327494677969
113.0,181.0,-30.0,-19110.78293239693,-52208.862194493304,3760.3291428237885
113.0,181.0,-25.0,-21325.061633809117,-53308.02104547369,4363.306197536754
113.0,181.0,-20.0,-22459.458163664443,-53485.17214687984,2771.8479196474273
113.0,181.0,-15.0,-23454.15552194558,-53869.7131847632,-8.815859495406095e-10
113.0,181.0,-10.0,-22459.458163664574,-53485.1721468798,-2771.8479196472517
113.0,181.0,-5.0,-21325.06163380961,-53308.0210454751,-4363.306197537523
113.0,181.0,0.0,-19110.782932397244,-52208.86219449382,-3760.3291428230395
113.0,186.0,-30.0,-18882.86160644177,-47947.97772153685,3381.6845402139816
113.0,186.0,-25.0,-19327.39691735165,-48683.304641682356,3597.34136565843
113.0,186.0,-20.0,-21014.63410177604,-49662.00550566626,2659.4916447740306
113.0,186.0,-15.0,-21229.250057203226,-49795.62259081048,2.24163661991602e-10
113.0,186.0,-10.0,-21014.634101775642,-49662.00550566661,-2659.4916447739056
113.0,186.0,-5.0,-19327.396917351936,-48683.304641682626,-3597.3413656575344
113.0,186.0,0.0,-18882.86160644304,-47947.97772153785,-3381.6845402139948
113.0,191.0,-30.0,-16822.510605752697,-42983.21432957487,2612.3563254731007
113.0,191.0,-25.0,-18410.558119264213,-44289.764686749295,3363.9385699524732
113.0,191.0,-20.0,-19444.617140618924,-45123.948755650774,1992.0477169613976
113.0,191.0,-15.0,-19906.611818979738,-45470.357270169574,2.1464966623313432e-10
113.0,191.0,-10.0,-19444.617140618942,-45123.94875565149,-1992.0477169607036
113.0,191.0,-5.0,-18410.558119264333,-44289.76468674951,-3363.9385699522845
113.0,191.0,0.0,-16822.510605752715,-42983.2143295749,-2612.3563254724213
113.0,196.0,-30.0,-16828.927496750002,-39597.960528452684,2448.5633154796496
113.0,196.0,-25.0,-16850.11309020609,-40369.08566770373,2743.190858352457
113.0,196.0,-20.0,-18252.647066685284,-41143.05247404756,2016.6943295475319
113.0,196.0,-15.0,-18938.264634530064,-41882.082978068305,7.583415377136286e-10
113.0,196.0,-10.0,-18252.647066685524,-41143.0524740475,-2016.6943295470164
113.0,196.0,-5.0,-16850.11309020561,-40369.085667703584,-2743.1908583520794
113.0,196.0,0.0,-16828.927496749413,-39597.96052845174,-2448.5633154803418
113.0,201.0,-30.0,-14650.583381710983,-34295.29284926797,1618.6858142422054
113.0,201.0,-25.0,-15815.544636135217,-35773.42608030019,2424.5383848726533
113.0,201.0,-20.0,-16013.737800295377,-37726.47686199029,1527.1269868697425
113.0,201.0,-15.0,-17006.91404700753,-38522.404018624475,6.063540367481331e-11
113.0,201.0,-10.0,-16013.737800294788,-37726.47686199046,-1527.1269868695479
113.0,201.0,-5.0,-15815.544636135568,-35773.42608029978,-2424.5383848720817
113.0,201.0,0.0,-14650.583381711001,-34295.29284926699,-1618.6858142433994
113.0,206.0,-30.0,-13677.865102349759,-30934.874686810166,1725.1661448712082
