x,y,z,Mx,My,Mz
116.0,217.0,-28.0,0.0,0.0,0.0
116.0,217.0,-23.0,0.0,0.0,0.0
116.0,217.0,-18.0,0.0,0.0,0.0
116.0,217.0,-13.0,0.0,0.0,0.0
116.0,217.0,-8.0,0.0,0.0,0.0
116.0,217.0,-3.0,0.0,0.0,0.0
116.0,222.0,-28.0,0.0,0.0,0.0
116.0,222.0,-23.0,0.0,0.0,0.0
116.0,222.0,-18.0,0.0,0.0,0.0
116.0,222.0,-13.0,0.0,0.0,0.0
116.0,222.0,-8.0,0.0,0.0,0.0
116.0,222.0,-3.0,0.0,0.0,0.0
116.0,227.0,-28.0,0.0,0.0,0.0
116.0,227.0,-23.0,0.0,0.0,0.0
116.0,227.0,-18.0,0.0,0.0,0.0
116.0,227.0,-13.0,0.0,0.0,0.0
116.0,227.0,-8.0,0.0,0.0,0.0
116.0,227.0,-3.0,0.0,0.0,0.0
121.0,127.0,-28.0,2556.060211017935,-96414.89353597004,23055.474559491704
121.0,127.0,-23.0,-5647.800936102861,-123517.3335896511,20144.672126261343
121.0,127.0,-18.0,-5583.255674969145,-142993.39166206945,12121.734910390227
121.0,127.0,-13.0,-6861.927655609217,-153796.74729266716,2621.1968051020053
121.0,127.0,-8.0,-7632.599959091025,-148146.81804791256,-6951.028373361616
121.0,127.0,-3.0,-4268.412061650613,-131069.28563068353,-13499.9356189416
